name,x,y
324275166,-3.5872397,55.9791021
324275172,-3.5881425,55.9784671
324275178,-3.5910752,55.9778553
324283197,-3.5826528,55.9838295
324283489,-3.5815801,55.9824141
324285229,-3.6055715,55.9760453
339398129,-3.6184798,55.9801954
343446534,-3.6088013,55.9748128
343450940,-3.5955427,55.9659118
353955657,-3.5998428,55.9703142
353955694,-3.6013234,55.971575
353955699,-3.6024496,55.9714182
353955704,-3.6007119,55.9702001
353955745,-3.6025316,55.9715996
355710025,-3.6001003,55.9702722
356714597,-3.6027903,55.9683145
356714602,-3.6025869,55.9676469
356714608,-3.6025309,55.9674559
356714616,-3.6028155,55.9668697
356714618,-3.6028838,55.9666509
357452771,-3.6200636,55.9789595
357457027,-3.6213828,55.9763626
359160584,-3.6041059,55.9673032
360026757,-3.6027729,55.9722258
360258485,-3.601424,55.9772337
360896791,-3.6034239,55.9673872
360896804,-3.6021946,55.9669735
3631353179,-3.5939513,55.9787626
3631353182,-3.5951908,55.9794995
3631529536,-3.610883,55.9751753
3631529539,-3.6096777,55.9756342
3633001748,-3.5820378,55.9804073
3633027114,-3.5858113,55.9766704
3633077013,-3.6134718,55.9800106
3633298359,-3.5946765,55.9779228
3633343332,-3.6122856,55.9790169
363994334,-3.5972554,55.9692842
363994336,-3.5984078,55.9691273
363994337,-3.5983103,55.9689155
363994344,-3.5979384,55.9697477
363994346,-3.5972606,55.9696734
363994353,-3.5956369,55.9700243
363994354,-3.5956073,55.9702573
363994358,-3.5955834,55.9706743
363994360,-3.595637,55.9709204
363994362,-3.5957765,55.9713947
363994363,-3.5958623,55.9716169
363994365,-3.5958194,55.9719951
366568174,-3.5972795,55.9734215
366568177,-3.5934746,55.974051
366568178,-3.5949742,55.9737159
366568179,-3.595169,55.9740972
366568180,-3.5939139,55.9739588
366568192,-3.596175,55.9735275
3673008044,-3.6227162,55.9771785
3673008045,-3.6225006,55.9771854
3673008046,-3.6229257,55.9771785
369817321,-3.6063606,55.9706812
369817324,-3.6056468,55.9702673
369817330,-3.6051268,55.9709086
369817333,-3.6046172,55.9704583
369817334,-3.6042416,55.96999
369817335,-3.6037267,55.9707165
369817338,-3.6041554,55.9710691
369817339,-3.603308,55.9715108
369817342,-3.6029866,55.9711013
369817343,-3.6102652,55.9734391
369817365,-3.6091454,55.9737326
373310017,-3.6036848,55.9682467
373310024,-3.6037341,55.9688316
373310057,-3.6046401,55.9682344
373310062,-3.6037499,55.9686716
373310105,-3.603525,55.9690016
379805113,-3.6084405,55.9737623
379805114,-3.6084921,55.9740332
379805123,-3.607117,55.9735863
379805129,-3.6065817,55.9740543
379805130,-3.6064526,55.9740356
379805131,-3.60576,55.9741328
379805133,-3.6058035,55.9742469
379805134,-3.6057074,55.974015
379805137,-3.6061855,55.9735667
379805138,-3.6085431,55.9756499
379805141,-3.6085043,55.9759673
382400472,-3.6091333,55.972444
382400474,-3.6082207,55.9728411
382400476,-3.6076777,55.9730974
382400479,-3.6065243,55.9728243
382400487,-3.6040937,55.9738647
382400490,-3.6047165,55.9735387
382400493,-3.6050747,55.9737483
382400499,-3.6060299,55.9734166
384747342,-3.5993958,55.9682957
384747345,-3.6001835,55.9675085
384747346,-3.6005522,55.9672863
384747347,-3.6007715,55.9670339
384747349,-3.6012246,55.9673851
384747354,-3.5998034,55.9668917
384747355,-3.5995523,55.9679903
384747359,-3.5982428,55.9671472
384747360,-3.6000325,55.967695
384747365,-3.6006285,55.9679963
384747366,-3.6009319,55.9678449
384747502,-3.5988169,55.9678485
384747504,-3.5987306,55.9679705
384750484,-3.6006206,55.9680864
410182009,-3.6055916,55.9686871
410182016,-3.6109775,55.9687836
410182021,-3.6098162,55.969592
410182022,-3.6076345,55.9683014
410182023,-3.607711,55.9689588
410182024,-3.6079124,55.9695025
410182025,-3.6082392,55.9699974
410182027,-3.6072193,55.9702115
410182030,-3.6092769,55.9698884
410182031,-3.6078386,55.9693602
410182032,-3.606558,55.9694752
410182033,-3.6076768,55.9688478
410182034,-3.6062069,55.9688762
410182035,-3.6088012,55.9699317
410182036,-3.6090283,55.9703833
410182037,-3.6075351,55.9701408
410182038,-3.6077995,55.970549
410182039,-3.6090732,55.9693975
410182040,-3.6087054,55.9689255
410182067,-3.6099985,55.9695743
410182068,-3.6101521,55.9700357
410184883,-3.6046011,55.9710482
410184891,-3.6061808,55.9711852
410184892,-3.603864,55.9713585
410184896,-3.6047185,55.9718907
410184897,-3.6030557,55.9715584
410184907,-3.6042139,55.9723336
4130110392,-3.5815542,55.9785666
4159941500,-3.5980265,55.9697306
4159941501,-3.5978334,55.9697651
416457717,-3.6106952,55.9693169
416457718,-3.6113046,55.9695325
416457719,-3.6119647,55.9688531
416457720,-3.6109175,55.9690429
416457723,-3.6097803,55.968959
4177041196,-3.5903119,55.976737
4177041197,-3.5903217,55.9770018
507056613,-3.6125185,55.9757012
507056618,-3.6126745,55.9757912
507056624,-3.6124958,55.9758398
548809636,-3.6193433,55.9789351
549304211,-3.591006,55.9791497
549304213,-3.5907114,55.9790275
549304245,-3.5939962,55.9774757
6576853833,-3.6069118,55.9747542
6576853836,-3.6012226,55.9755681
675994099,-3.6170519,55.9669198
675994116,-3.6186359,55.9691305
675994118,-3.6177296,55.9688049
675994135,-3.6145948,55.9691358
675994137,-3.616124,55.9689334
675994140,-3.6154407,55.96882
675994141,-3.6170503,55.9697915
675994142,-3.6164879,55.9692271
675994143,-3.6178831,55.9706267
675994144,-3.6191091,55.972063
675994145,-3.6182934,55.9712674
675994148,-3.6153215,55.9705282
675994155,-3.6136874,55.969042
675994156,-3.6135235,55.9691485
675994157,-3.6134052,55.9690975
675994159,-3.6138864,55.9695067
675994162,-3.6143516,55.9692653
675994163,-3.6144901,55.9693525
675994164,-3.6142233,55.970245
6790317437,-3.6252028,55.9803973
6790317438,-3.625435,55.9802354
6790317439,-3.6249748,55.9806013
