name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_863388430_3063665400_0,863388430,3063665400,7.572655493333232,13.411200000000001,0.2,1,residential,False
tc_863388430_863387616_0,863388430,863387616,72.5812000275848,13.411200000000001,0.2,1,residential,False
tc_863388430_863388436_0,863388430,863388436,39.10584921429931,13.411200000000001,0.2,1,residential,False
tc_863388436_863388430_0,863388436,863388430,39.10584921429931,13.411200000000001,0.2,1,residential,False
tc_863389466_190531710_0,863389466,190531710,18.674665799387398,13.411200000000001,0.2,2,secondary,False
tc_863389466_75632310_0,863389466,75632310,95.0052016222445,13.411200000000001,0.2,2,secondary,False
tc_863389466_863390293_0,863389466,863390293,32.0057040929421,13.411200000000001,0.2,1,residential,False
tc_863390293_863389466_0,863390293,863389466,32.0057040929421,13.411200000000001,0.2,1,residential,False
tc_863390293_863390465_0,863390293,863390465,36.74222179311052,13.411200000000001,0.2,1,residential,False
tc_863390465_863390293_0,863390465,863390293,36.74222179311052,13.411200000000001,0.2,1,residential,False
tc_863390465_863390466_0,863390465,863390466,23.92314803523214,13.411200000000001,0.2,1,residential,False
tc_863390465_863390544_0,863390465,863390544,40.613151131030676,13.411200000000001,0.2,1,residential,False
tc_863390466_863390465_0,863390466,863390465,23.92314803523214,13.411200000000001,0.2,1,residential,False
tc_863390544_863390465_0,863390544,863390465,40.613151131030676,13.411200000000001,0.2,1,residential,False
tc_863392345_190531721_0,863392345,190531721,37.22040586285002,13.411200000000001,0.2,1,residential,False
tc_863392638_190531724_0,863392638,190531724,42.16612866791466,13.411200000000001,0.2,1,residential,False
tc_863392866_190531728_0,863392866,190531728,59.37225857956631,13.411200000000001,0.2,1,residential,False
tc_863393261_190531733_0,863393261,190531733,52.0156595474447,13.411200000000001,0.2,1,residential,False
tc_863393261_863393266_0,863393261,863393266,21.529218031743884,13.411200000000001,0.2,1,residential,False
tc_863393261_863393424_0,863393261,863393424,45.67990597210745,13.411200000000001,0.2,1,residential,False
tc_863393266_863393261_0,863393266,863393261,21.529218031743884,13.411200000000001,0.2,1,residential,False
tc_863393266_863393268_0,863393266,863393268,27.6589097604808,13.411200000000001,0.2,1,residential,False
tc_863393266_863393929_0,863393266,863393929,60.560480956301745,13.411200000000001,0.2,1,residential,False
tc_863393268_863393266_0,863393268,863393266,27.6589097604808,13.411200000000001,0.2,1,residential,False
tc_863393268_863393270_0,863393268,863393270,33.19298780012037,13.411200000000001,0.2,1,residential,False
tc_863393268_863393589_0,863393268,863393589,47.33025921246215,13.411200000000001,0.2,1,residential,False
tc_863393270_863393268_0,863393270,863393268,33.19298780012037,13.411200000000001,0.2,1,residential,False
tc_863393424_863393261_0,863393424,863393261,45.67990597210745,13.411200000000001,0.2,1,residential,False
tc_863393589_863393268_0,863393589,863393268,47.33025921246215,13.411200000000001,0.2,1,residential,False
tc_863393929_863393266_0,863393929,863393266,60.56048095630175,13.411200000000001,0.2,1,residential,False
tc_863393929_863393940_0,863393929,863393940,67.48907872785254,13.411200000000001,0.2,1,residential,False
tc_863393929_863394302_0,863393929,863394302,45.10951219844289,13.411200000000001,0.2,1,residential,False
tc_863393940_863393929_0,863393940,863393929,67.48907872785256,13.411200000000001,0.2,1,residential,False
tc_863394302_863393929_0,863394302,863393929,45.10951219844289,13.411200000000001,0.2,1,residential,False
tc_863394366_190531736_0,863394366,190531736,45.534253884491754,13.411200000000001,0.2,2,secondary,False
tc_863394366_863395379_0,863394366,863395379,185.39307804077708,13.411200000000001,0.2,1,residential,False
tc_863394366_863401606_0,863394366,863401606,50.7667716690589,13.411200000000001,0.2,2,secondary,False
tc_863395379_863394366_0,863395379,863394366,185.39307804077708,13.411200000000001,0.2,1,residential,False
tc_863398069_190531736_0,863398069,190531736,41.09437757332556,13.411200000000001,0.2,2,secondary,False
tc_863398069_75632172_0,863398069,75632172,1066.6216441465847,26.822400000000002,0.2,2,secondary,False
tc_863398069_863398534_0,863398069,863398534,196.39289709030118,13.411200000000001,0.2,1,unclassified,False
tc_863398534_863398069_0,863398534,863398069,196.39289709030118,13.411200000000001,0.2,1,unclassified,False
tc_863398534_863398689_0,863398534,863398689,70.78505869209516,13.411200000000001,0.2,1,unclassified,False
tc_863398689_863398534_0,863398689,863398534,70.78505869209516,13.411200000000001,0.2,1,unclassified,False
tc_863398689_863398693_0,863398689,863398693,44.24111349124624,13.411200000000001,0.2,1,unclassified,False
tc_863398689_863398827_0,863398689,863398827,48.52875279409117,13.411200000000001,0.2,1,unclassified,False
tc_863398693_863398689_0,863398693,863398689,44.24111349124624,13.411200000000001,0.2,1,unclassified,False
tc_863398693_863399123_0,863398693,863399123,16.011933225860307,13.411200000000001,0.2,1,unclassified,False
tc_863398693_863399125_0,863398693,863399125,86.13921217590007,13.411200000000001,0.2,1,unclassified,False
tc_863398827_863398689_0,863398827,863398689,48.52875279409117,13.411200000000001,0.2,1,unclassified,False
tc_863399123_863398693_0,863399123,863398693,16.011933225860307,13.411200000000001,0.2,1,unclassified,False
tc_863399125_863398693_0,863399125,863398693,86.13921217590007,13.411200000000001,0.2,1,unclassified,False
tc_863399125_863399128_0,863399125,863399128,45.97227639876558,13.411200000000001,0.2,1,unclassified,False
tc_863399125_863399361_0,863399125,863399361,106.71007220543292,13.411200000000001,0.2,1,unclassified,False
tc_863399128_863399125_0,863399128,863399125,45.97227639876558,13.411200000000001,0.2,1,unclassified,False
tc_863399128_863399369_0,863399128,863399369,18.8001653919603,13.411200000000001,0.2,1,unclassified,False
tc_863399128_863399543_0,863399128,863399543,13.618582676068055,13.411200000000001,0.2,1,unclassified,False
tc_863399361_863399125_0,863399361,863399125,106.71007220543294,13.411200000000001,0.2,1,unclassified,False
tc_863399361_863399369_0,863399361,863399369,42.56917455319002,13.411200000000001,0.2,1,unclassified,False
tc_863399361_863399369_1,863399361,863399369,153.40606919028568,13.411200000000001,0.2,1,unclassified,False
tc_863399369_863399128_0,863399369,863399128,18.8001653919603,13.411200000000001,0.2,1,unclassified,False
tc_863399369_863399361_0,863399369,863399361,42.56917455319002,13.411200000000001,0.2,1,unclassified,False
tc_863399369_863399361_1,863399369,863399361,153.40606919028568,13.411200000000001,0.2,1,unclassified,False
tc_863399543_863399128_0,863399543,863399128,13.618582676068055,13.411200000000001,0.2,1,unclassified,False
tc_863400534_1596955549_0,863400534,1596955549,66.24304448612705,8.940800000000001,0.2,1,residential,False
tc_863400534_190531736_0,863400534,190531736,79.3433669125696,8.940800000000001,0.2,1,residential,False
tc_863400534_863401384_0,863400534,863401384,41.96916738092812,8.940800000000001,0.2,1,residential,False
tc_863400719_270355627_0,863400719,270355627,37.7458059561983,8.940800000000001,0.2,1,residential,False
tc_863401384_863400534_0,863401384,863400534,41.96916738092812,8.940800000000001,0.2,1,residential,False
tc_863401606_190531733_0,863401606,190531733,48.100233233472764,13.411200000000001,0.2,2,secondary,False
tc_863401606_863394366_0,863401606,863394366,50.7667716690589,13.411200000000001,0.2,2,secondary,False
